2020-01-16 01:23:58 WARN  LocalWebDriverListener:62 - Creating the Driver!!!
2020-01-16 01:23:59 INFO  LocalWebDriverListener:46 - getting driver for: chrome
2020-01-16 01:23:59 INFO  LocalWebDriverListener:47 - device name is: mac
2020-01-16 01:24:00 INFO  LocalWebDriverListener:60 - Done! Created chrome driver!
2020-01-16 01:24:03 INFO  Log:12 - Info : Wait for page to load
2020-01-16 01:24:03 INFO  Log:12 - Info : Maximum wait for - 2
2020-01-16 01:24:03 INFO  Log:12 - Info : Page Load Status - complete
2020-01-16 01:24:05 INFO  Log:12 - Element Not found
2020-01-16 01:24:06 INFO  Log:12 - Pass : Element clicked by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .btn-solid-primary]
2020-01-16 01:24:06 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:07 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:10 INFO  Log:12 - Pass : Element clicked by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-page-controller .shopee-icon-button--right]
2020-01-16 01:24:10 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:11 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:12 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:14 INFO  Log:12 - Pass : Element clicked by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-page-controller .shopee-icon-button--right]
2020-01-16 01:24:14 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:15 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:17 INFO  Log:12 - Pass : Element clicked by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-page-controller .shopee-icon-button--right]
2020-01-16 01:24:18 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:19 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:21 INFO  Log:12 - Pass : Element clicked by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-page-controller .shopee-icon-button--right]
2020-01-16 01:24:22 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:22 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:23 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:26 INFO  Log:12 - Pass : Element clicked by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:24:27 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:27 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:30 INFO  Log:12 - Pass : Element clicked by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:24:30 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:31 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:32 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:24:34 INFO  Log:12 - Pass : Element clicked by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:24:34 INFO  Log:12 - Pass : Element Scroll by JS - [[ChromeDriver: chrome on MAC (db5dcdce59cf4b14d01cc3564a5adf7f)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
